followers,genres,artist,popularity
553350.0,"['funk carioca', 'funk ostentacao']",Mc Gui,37
276005.0,['v-pop'],Bao Anh,37
140774.0,['v-pop'],Ung Hoang Phuc,37
132763.0,['detroit hip hop'],Proof,37
194242.0,['v-pop'],Đông Nhi,37
147275.0,['k-pop'],SEOHYUN,37
166235.0,"['k-pop', 'k-pop boy group']",IMFACT,37
168898.0,"['classic arab pop', 'shaabi']",Hany Shaker,37
122763.0,"['duranguense', 'regional mexican']",Mazizo Musical,37
110460.0,"['opm', 'pinoy indie', 'pinoy rock']",Kjwan,37
241093.0,"['filmi', 'ghazal', 'hindustani classical', 'hindustani vocal', 'indian classical', 'marathi traditional', 'sufi']",Bhimsen Joshi,37
123496.0,"['dub techno', 'german techno', 'microhouse', 'minimal tech house', 'minimal techno', 'tech house', 'techno']",Ricardo Villalobos,37
108894.0,"['k-pop', 'k-pop girl group']",FIESTAR,37
182400.0,['v-pop'],Hồ Quang Hiếu,37
230523.0,['social media pop'],Erika Costell,37
185804.0,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'sufi']",Shamshad Begum,37
165634.0,['teen pop'],Trevi Moran,37
105636.0,['new jack swing'],Immature,37
194239.0,"['brazilian gospel', 'sertanejo gospel']",Eliane Silva,37
125930.0,"['bhangra', 'classic punjabi pop', 'punjabi pop']",Kulwinder Dhillon,37
144764.0,"['desi hip hop', 'malaysian tamil pop', 'tamil hip hop', 'tamil pop']",Havoc Brothers,37
115961.0,"['bhangra', 'punjabi pop']",Kamal Heer,37
193478.0,"['italian techno', 'minimal techno', 'techno']",Marco Carola,37
177679.0,"['classic pakistani pop', 'ghazal', 'pakistani pop']",Junoon,37
106681.0,"['afrofuturism', 'detroit techno', 'minimal techno', 'techno']",Jeff Mills,37
126651.0,['bangla'],Habib Wahid,37
113678.0,"['forro', 'tecnobrega']",Banda Líbanos,38
259919.0,['latin viral pop'],Luisa Fernanda W,38
112847.0,"['acid rock', 'blues rock', 'classic garage rock', 'classic rock', 'country rock', 'folk rock', 'freakbeat', 'psychedelic rock']",Country Joe & The Fish,38
100390.0,"['glam metal', 'hard rock', 'sleaze rock']",Bulletboys,38
120966.0,"['opm', 'pinoy indie', 'pinoy pop punk', 'pinoy rock']",Chicosci,38
318328.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Hugo & Tiago,38
128865.0,['brazilian gospel'],Raquel Mello,38
104196.0,['italian adult pop'],Alessio Bernabei,38
244955.0,"['album rock', 'rock drums']",Roger Taylor,38
154121.0,"['frankfurt electronic', 'german techno', 'minimal techno', 'techno']",Sven Väth,38
199251.0,['uzbek pop'],Banu Parlak,38
167705.0,"['funk', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'urban contemporary']",Miki Howard,38
156733.0,['modern bollywood'],Shah Rukh Khan,38
963817.0,"['chinese idol pop', 'k-pop']",EXO-M,38
277293.0,['v-pop'],Le Bao Binh,38
102640.0,['vallenato'],Hebert Vargas,38
111135.0,"['k-pop', 'k-pop boy group']",1THE9,38
165083.0,"['album rock', 'hard rock', 'metal']",Heaven & Hell,38
144989.0,"['gujarati garba', 'gujarati pop']",Aditya Gadhvi,38
135986.0,['v-pop'],Hoang Ton,38
494234.0,['post-teen pop'],Nick Jonas & The Administration,38
126436.0,"['j-division', 'j-pop boy group']",EXILE THE SECOND,38
111532.0,['urban contemporary'],B5,38
263018.0,['k-pop'],Samuel,38
124861.0,"['bhangra', 'desi pop', 'punjabi pop']",Nachhatar Gill,38
438098.0,"['k-pop', 'k-pop boy group']",JBJ,38
168433.0,"['bhangra', 'desi pop', 'punjabi pop']",Preet Harpal,38
116273.0,['pagode'],Tentasamba,38
174103.0,['brazilian hip hop'],Mc Marechal,38
123656.0,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",Wibal Y Alex,38
104029.0,['v-pop'],Khanh Phuong,38
181816.0,"['arab pop', 'dabke', 'lebanese pop']",Nawal Al Zoghbi,38
148044.0,['rai'],Cheb Nasro,38
350381.0,"['hip pop', 'pop r&b', 'r&b', 'urban contemporary']",LeToya Luckett,38
156146.0,"['arab alternative', 'egyptian alternative', 'egyptian pop']",Massar Egbari,38
105344.0,['pop nacional antigas'],Peninha,38
167434.0,"['classic arab pop', 'khaliji']",Mohammed Abdu,38
121642.0,"['bhangra', 'desi pop', 'punjabi pop']",PBN,38
208069.0,"['arab pop', 'egyptian pop']",Hamada Helal,38
128427.0,"['k-pop', 'k-pop girl group']",Dalshabet,38
153757.0,['thai hip hop'],P-Hot,38
114493.0,['forro'],Caviar Com Rapadura,38
