year,category,nominee,workers,artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo
1989,Best Historical Album,Crossroads,(Eric Clapton),['Tracy Chapman'],0.6,0.777,0.787,251493,0.255,0.00959,0.101,-14.733,56,0.0399,105.97
1988,"Best Gospel Performance, Female",I Believe In You,,['Stryper'],0.254,0.157,0.429,197333,0.483,1.12e-05,0.0775,-11.211,34,0.0261,77.759
1987,"Best Jazz Vocal Performance, Male",'Round Midnight,,['Wes Montgomery Trio'],0.16,0.926,0.531,293627,0.0673,0.642,0.131,-25.452,33,0.0387,117.94
1986,Best New Artist,Sade,,['Kenny G'],0.631,0.142,0.784,260627,0.3670000000000001,0.6890000000000001,0.0888,-12.984000000000002,29,0.0421,103.844
1985,"Best Country Vocal Performance, Female",In My Dreams,,['Dokken'],0.5710000000000001,0.0217,0.552,260093,0.816,0.0,0.105,-9.821,45,0.0593,121.851
1982,"Best Soul Gospel Performance, Contemporary",Don't Give Up,,['Barrington Levy'],0.8370000000000001,0.0551,0.83,198440,0.467,1.64e-05,0.0662,-10.936,48,0.0953,140.569
1979,"Best R&B Vocal Performance, Female",Last Dance,,['Donna Summer'],0.5,0.121,0.605,296507,0.612,0.00236,0.22,-13.399,51,0.0439,125.37
1979,Best Rhythm & Blues Song,Last Dance,"Paul Jabara, songwriter (Donna Summer)",['Donna Summer'],0.5,0.121,0.605,296507,0.612,0.00236,0.22,-13.399,51,0.0439,125.37
1976,Album Of Best Original Score Written For A Motion Picture Or A Television Special,Jaws,"John Williams, composer (John Williams)",['Lalo Schifrin'],0.364,0.0506,0.7040000000000001,361507,0.631,0.7709999999999999,0.277,-14.286,27,0.0372,122.479
1975,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Tell Me Something Good,,['Ronnie Laws'],0.823,0.173,0.578,291893,0.7959999999999999,0.584,0.184,-13.109000000000002,24,0.0625,92.021
1974,"Best Pop Vocal Performance, Male",You Are The Sunshine Of My Life,,['Frank Sinatra'],0.857,0.72,0.464,154467,0.392,0.0,0.1669999999999999,-11.317,33,0.0358,162.967
1974,"Best Country Vocal Performance, Male",Behind Closed Doors,,['Ronnie Milsap'],0.632,0.629,0.622,175680,0.377,0.0,0.0668,-9.559,23,0.0286,85.13
1974,Best Country Song,Behind Closed Doors,"Kenny O'Dell, songwriter (Charlie Rich)",['Ronnie Milsap'],0.632,0.629,0.622,175680,0.377,0.0,0.0668,-9.559,23,0.0286,85.13
1973,"Best Pop Vocal Performance, Male",Without You,,['The Doobie Brothers'],0.66,0.0823,0.485,298747,0.926,0.0558,0.208,-8.777000000000001,36,0.0443,132.631
1972,Record Of The Year,It's Too Late,"Lou Adler, producer",['The Stylistics'],0.713,0.7020000000000001,0.728,272320,0.306,0.00102,0.655,-12.306,28,0.0359,80.048
1972,Song Of The Year,You've Got A Friend,"Carole King, songwriter (Carole King)",['Michael Jackson'],0.81,0.501,0.5429999999999999,298960,0.635,1.13e-06,0.0955,-8.967,27,0.0351,168.399
1972,"Best Pop Vocal Performance, Male",You've Got A Friend,,['Michael Jackson'],0.81,0.501,0.5429999999999999,298960,0.635,1.13e-06,0.0955,-8.967,27,0.0351,168.399
1972,"Best R&B Vocal Performance, Female",Bridge Over Troubled Water,,['Simon & Garfunkel'],0.261,0.795,0.276,293120,0.236,9.67e-05,0.366,-13.742,34,0.0299,83.611
1972,Best Rhythm & Blues Song,Ain't No Sunshine,"Bill Withers, songwriter (Bill Withers)",['The Equatics'],0.341,0.353,0.446,213466,0.562,0.115,0.144,-11.967,46,0.0757,148.436
1972,Best Rhythm & Blues Song,Ain't No Sunshine,"Bill Withers, songwriter (Bill Withers)",['Michael Jackson'],0.736,0.0281,0.529,253467,0.616,2.15e-05,0.0796,-9.903,34,0.0511,151.991
1972,Best Rhythm & Blues Song,Ain't No Sunshine,"Bill Withers, songwriter (Bill Withers)",['Freddie King'],0.452,0.758,0.5760000000000001,200200,0.363,0.000147,0.0837,-14.487,37,0.0512,135.513
1972,Best Rhythm & Blues Song,Ain't No Sunshine,"Bill Withers, songwriter (Bill Withers)","['Grover Washington, Jr.']",0.556,0.7909999999999999,0.415,515267,0.371,0.203,0.0952,-11.424,26,0.0351,147.362
1972,Best Spoken Word Recording,Desiderata,,['Jorge Lavat'],0.473,0.8809999999999999,0.381,223469,0.621,0.0,0.6779999999999999,-12.166,40,0.0849,85.93299999999998
1971,"Best R&B Vocal Performance, Male",The Thrill Is Gone,,['B.B. King'],0.482,0.453,0.541,378907,0.438,0.00627,0.398,-10.854,37,0.209,94.786
1971,"Best Country Vocal Performance, Female",Rose Garden,,['Lynn Anderson'],0.969,0.168,0.589,175867,0.501,0.0,0.0741,-11.665,61,0.031,131.064
1971,"Best Country Vocal Performance, Female",Rose Garden,,['Glen Campbell'],0.742,0.741,0.498,170413,0.541,3.29e-06,0.154,-5.4670000000000005,29,0.028,137.215
1971,"Best Country Vocal Performance, Male",For The Good Times,,['Andy Williams'],0.386,0.254,0.4,213467,0.406,0.0605,0.0972,-13.157,34,0.0276,96.603
1971,Best Original Score Written For A Motion Picture Or A Television Special,Let It Be,"George Harrison, John Lennon, Paul McCartney & Ringo Starr, composers (The Beatles)",['John Denver'],0.364,0.857,0.522,218800,0.149,0.0,0.166,-12.609000000000002,49,0.0334,124.847
1971,Best Original Score Written For A Motion Picture Or A Television Special,Let It Be,"George Harrison, John Lennon, Paul McCartney & Ringo Starr, composers (The Beatles)",['Bill Withers'],0.777,0.222,0.684,156773,0.52,0.0,0.0895,-11.251,44,0.032,118.782
