artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,popularity
Raichand Boral,0.3105,0.9935,0.4794999999999999,118841.0,0.2725,0.48850000000000005,0.125,-12.338000000000001,0.0796,94.07900000000001,0.0
Himangshu Dutta,0.49275,0.99175,0.42925,192370.5,0.18775,0.15031250000000002,0.19165,-10.08125,0.08945,75.31575000000001,0.0
Raimundo Lanas,0.484,0.93,0.419,186440.0,0.183,6.28e-06,0.04,-14.964,0.0496,95.067,0.0
Los Peregrinos,0.7004999999999999,0.9775,0.537,174772.0,0.567,0.04695,0.3885,-10.1375,0.0436,109.02,0.0
Hirabai Barodekar,0.3236666666666667,0.995,0.38000000000000006,188564.33333333334,0.18433333333333335,0.9333333333333332,0.15206666666666666,-14.551666666666668,0.05313333333333334,68.33166666666668,0.0
Trio Costeño,0.9644999999999999,0.8195000000000001,0.647,168678.5,0.5085,0.0129945,0.33649999999999997,-7.076499999999999,0.05055,129.90200000000002,0.0
Bob Carroll,0.638,0.954,0.4370000000000001,153267.0,0.357,0.000105,0.289,-9.193,0.0368,106.459,0.0
The Cotton Candy Blues Band,0.4673333333333333,0.08863333333333334,0.6213333333333333,145194.0,0.39733333333333337,0.07238533333333334,0.26933333333333337,-12.481,0.03896666666666667,110.383,0.0
Bob Crosby & His Orchestra,0.9306666666666666,0.9653333333333333,0.6333333333333333,157716.33333333334,0.464,0.9136666666666667,0.14833333333333334,-14.004333333333333,0.15686666666666668,140.47666666666666,0.0
Hlias Litos-Klarino,0.706,0.995,0.439,193573.0,0.45,0.92,0.108,-8.148,0.0569,84.546,0.0
Bob Edgeworth,0.27,0.994,0.385,343440.0,0.0728,0.911,0.16,-24.084,0.0493,74.168,0.0
Homer Callahan,0.219,0.966,0.505,184477.0,0.0987,0.000214,0.325,-16.766,0.0445,80.878,0.0
Bob Haymes,0.228,0.774,0.238,159594.0,0.409,0.0209,0.254,-8.245,0.0351,83.742,0.0
Honeytraps,0.627,0.00694,0.618,199839.0,0.7959999999999999,2.29e-05,0.113,-5.631,0.0328,116.031,0.0
Honoré de Balzac,0.4568181818181818,0.7066787878787879,0.6736363636363637,145462.75757575757,0.17421818181818183,1.9893939393939395e-06,0.293060606060606,-20.53678787878788,0.766969696969697,102.80063636363637,0.0
Raj Kapoor,0.959,0.995,0.7609999999999999,126950.0,0.216,6.330000000000001e-05,0.237,-14.007,0.346,137.485,0.0
Raj Khosla,0.726,0.977,0.5700000000000001,196211.5,0.364,0.3385,0.209,-10.2715,0.0474,122.89349999999999,0.0
Hlias Litos,0.71,0.995,0.448,185400.0,0.37,0.913,0.139,-9.321,0.042,133.938,0.0
Ram Ganguly,0.657,0.978,0.518,173307.0,0.436,0.000481,0.299,-9.145,0.124,73.55,0.0
R3ckzet,0.157,8.62e-05,0.792,330029.0,0.925,0.879,0.054,-5.114,0.0785,127.993,0.0
R.N. Paradkar,0.8240000000000001,0.993,0.468,205820.0,0.38,0.682,0.175,-13.034,0.0491,90.762,0.0
Bimal Gupta,0.8049999999999999,0.994,0.4715000000000001,190133.0,0.295,0.9085,0.216,-18.162,0.245,170.053,0.0
Bina Chowdhury,0.5742,0.9922000000000001,0.43360000000000004,201385.2,0.16072,0.6070065600000001,0.10984000000000001,-14.237799999999998,0.05848,103.3676,0.0
Binapani Mukherjee,0.6571428571428571,0.9911428571428571,0.48771428571428566,183298.57142857142,0.251,0.3846428571428571,0.284,-10.562,0.12314285714285714,82.41785714285713,0.0
Binata Bose,0.366,0.994,0.3295,184256.5,0.129,0.499,0.1105,-14.613,0.0604,97.654,0.0
Luke Henry,0.0984,0.9074,0.23582,269721.4,0.068384,0.7028000000000001,0.22139999999999996,-21.669800000000002,0.04974,83.8818,0.0
Bing Croby & Chorus,0.493,0.984,0.363,367618.0,0.662,0.00108,0.662,-7.433,0.209,56.736,0.0
Helge Leonhard,0.863,0.987,0.451,155267.0,0.227,0.0407,0.13,-17.182000000000002,0.0504,183.34,0.0
Pushpa Chopra,0.9315,0.9915,0.793,185740.0,0.27849999999999997,0.0014319,0.1325,-11.375,0.06595000000000001,114.4495,0.0
Ellen Hanley,0.0956,0.961,0.35,202067.0,0.125,0.0,0.208,-12.946,0.0351,95.429,0.0
Pushpa Hans,0.6746000000000001,0.9718,0.466,215759.2,0.29100000000000004,0.20165996600000002,0.31120000000000003,-13.5828,0.10425999999999999,129.90879999999999,0.0
Binota Roy,0.30357142857142855,0.9851428571428571,0.4041428571428571,182163.7142857143,0.1692142857142857,0.5683207142857143,0.11885714285714287,-13.858999999999998,0.042871428571428574,97.729,0.0
Pushpa,0.6679999999999999,0.993,0.71,186244.0,0.27,0.6759999999999999,0.156,-10.458,0.1669999999999999,147.234,0.0
Pushpavalli,0.7859999999999999,0.995,0.752,163747.0,0.335,0.939,0.256,-9.678,0.0801,82.041,0.0
Putul Chatterjee,0.8465,0.9835,0.48650000000000004,172842.0,0.352,0.462001205,0.403,-11.438500000000001,0.2845,122.9975,0.0
Bird Sounds,0.023886666666666667,0.68,0.2966666666666667,136135.0,0.9808333333333333,0.9143333333333333,0.7998333333333334,-20.510833333333334,0.15571666666666667,99.06266666666666,0.0
Luiz Piçarra,0.377,0.7885,0.365,189600.0,0.28500000000000003,0.06300303,0.3175,-11.8385,0.041749999999999995,117.02100000000002,0.0
Helge Rosvaenge,0.334,0.996,0.332,206307.0,0.0649,0.244,0.121,-20.271,0.0613,72.291,0.0
Bimal Bhushan,0.38799999999999996,0.987,0.3973333333333333,188160.0,0.30233333333333334,0.42008666666666666,0.13666666666666666,-11.360666666666667,0.0919,106.41300000000001,0.0
Purushottam Upadhyay,0.504,0.971,0.281,193827.0,0.377,0.616,0.18,-12.106,0.0352,119.704,0.0
Elli Sofroniou,0.861,0.993,0.684,208000.0,0.315,0.713,0.117,-13.612,0.0453,108.93,0.0
Luke Shayer,0.443,0.187,0.905,366829.0,0.87,0.804,0.0845,-9.024,0.0698,123.007,0.0
Provas Chandra Dey,0.34750000000000003,0.99,0.4385,182933.5,0.259,0.8734999999999999,0.0958,-15.276499999999999,0.052599999999999994,95.2715,0.0
Billy Daniels,0.2375,0.951,0.337,175053.5,0.1565,5.95e-07,0.1447,-11.857,0.03665,127.32400000000001,0.0
