genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
ambeat,44.311399267399274,74.8507326007326,234658.49450549448,65.40732600732599,16.80697875457875,13.929175824175822,-735.8032967032968,13.87919413919414,98.54111355311356,69.27600732600732,49.7014652014652
ambient,67.32743467076509,33.507529474888244,350676.8253885043,27.629745841177076,75.29056017847178,12.553576966443991,-1952.910198007929,4.32678166697356,107.28752653132194,19.14820761450744,43.24113652812282
ambient black metal,0.13254950000000001,26.38333333333333,356480.0,76.81666666666668,76.81833333333331,32.60333333333333,-934.5000000000002,5.73666666666666,111.02750000000005,24.10166666666666,43.83333333333334
ambient folk,64.40242450142449,52.859729344729345,229449.8165242165,37.86123076923077,15.43727159330484,15.88068945868946,-1200.9586182336182,5.86554558404558,114.24553490028492,30.76021367521367,44.30612535612536
ambient house,6.544999999999999,63.59999999999999,294900.0,81.225,16.46,28.999999999999996,-1218.375,4.5725,115.005,43.35,40.5
ambient idm,47.75,35.05,364264.0,57.94999999999999,46.250715,12.049999999999999,-1050.9999999999998,5.75,150.4915,23.849999999999998,54.0
ambient industrial,4.31,74.6,234013.0,72.3,82.0,8.49,-1559.0,4.569999999999999,126.575,92.0,28.0
ambient pop,74.47083333333333,27.64166666666666,228796.46666666665,21.773,72.08758,12.65233333333333,-1786.9,3.6085,95.92368333333334,16.866833333333332,44.58333333333333
ambient techno,12.025,72.6,361744.66666666674,55.883333333333326,34.89,9.39,-1313.6666666666667,3.17,122.89266666666668,81.04166666666667,36.833333333333336
ambient worship,51.091722222222224,33.742777777777775,301781.86527777783,46.15041666666667,23.21298890416667,11.332625,-962.2626388888891,3.7489305555555497,104.61098055555556,21.57533333333333,54.90972222222222
american 21st century classical,98.7,15.565000000000001,254533.0,2.395,89.15,9.68,-2910.8,4.51,69.16649999999998,4.755,46.5
american choir,89.57288961038961,22.9740742481203,212363.2002734108,20.9583198051948,15.539760125598079,33.6345078605605,-1987.7883885850988,9.68618421052631,103.75853251025288,19.592520933014352,23.71227785372523
american classical piano,97.66781523472092,35.53547222172736,298995.2670396941,9.65707140494388,81.11316967654984,13.63879780403584,-2565.141646685484,4.669852062747671,104.73920251395992,24.66597114470225,24.39556906216929
american contemporary classical,93.83158147749042,31.81496647509579,331714.74317229405,11.10884352550287,48.177954722593405,14.299419779693482,-2593.967103987069,5.16221138649425,99.85311179058913,26.730895204741365,30.58515625
american early music,99.5,17.150000000000002,160866.5,6.905,4.15615,12.1,-2652.4500000000003,5.225,168.6375,9.229999999999999,41.0
american folk revival,84.94754221484916,53.51211372263025,170889.91076588831,23.10090143503364,3.72094803755711,16.481428327401982,-1539.0472594469963,7.607137742243281,112.64414577679938,52.49713529734975,18.69569121216559
